商品コード,商品名称
0,調剤当日
4987107600011,◆第１類医薬品　ガスター１０Ｓ錠　１２錠
4987107619013,◆ロキソニンＳプレミアム　２４錠
4987107610867,◆第１類医薬品　ロキソニンＳ　１２錠
4987107617897,◆第１類医薬品　ロキソニンＳパップ　７枚
4901777001725,サントリー　烏龍茶　ペット　２０００ｍｌ
4547894650011,プレミアム　８パック
4901777214590,サントリー　ほろよいアイスティー
4901777193369,サントリー　ほろよい梅酒ソーダ　３５０ｍｌ
4589724810394,ＡＢＩ　バドワイザー缶　３５５ｍｌ
3104691012209,仏産　ルジェカシスベビー瓶２００ｍｌ
4902430874168,Ｐ＆Ｇ　レノアＨアプリＣフローラル詰替　４００ｍｌ
4903308004717,ＱＢＢ　クリームチーズ入りベビーチーズ　４Ｐ
4901810786015,トップバリュ生ハム５０ｇ
4901790065483,太鼓判玉うどん　１８０ｇ×３
4901777336704,グリーンダカラ　６００ｍｌ
4901085195475,伝承の健康茶そば茶　５００ｍｌ
4901777231672,サントリー　ボスとろけるカフェオレ　５００ｍｌ
4909411076870,午後の紅茶ミルクティー　１．５Ｌ
4977356467886,古川商店　アルミミックス　４０ｇ
4902181088623,ＪＰいかくん　１６ｇ
4901330591830,カルビー　ビッグバッグしあわせバター
4996827034365,ジョニークロッカー　１１２ｇ
4996827034358,ロイヤルチャームクリーム味　１２６ｇ
4901777333567,サントリー　金麦ゴールドラガー　３５０ｍｌ
4908068010961,グンゼ　婦人ビーナスレッグ２ＰヌードＭ
4901231052058,スパイシーフライドチキン　１７５ｇ
4902720116596,リプトンミルクティー　９００ｍｌ
4901330573041,カルビー　じゃがりこサラダ　６０ｇ
4902102133876,コカコーラ　檸檬堂鬼レモン　３５０ｍｌ
4901777332508,こだわり酒場のレモンサワー　３５０ｍｌ
4903111362509,ＵＣ　ソフィ肌おもい　羽無し　２４枚
4904230042846,アサヒ　リラプレミアムこく赤　２７００ｍｌ
4975479425707,オムロン　電子体温計　ＭＣ－６８
