日付,都道府県コード,搬送人員（計）,年齢区分：新生児,年齢区分：乳幼児,年齢区分：少年,年齢区分：成人,年齢区分：高齢者,年齢区分：不明,傷病程度：死亡,傷病程度：重症,傷病程度：中等症,傷病程度：軽症,傷病程度：その他,発生場所：住居,発生場所：仕事場①,発生場所：仕事場② ,発生場所：教育機関,発生場所：公衆(屋内),発生場所：公衆(屋外),発生場所：道路,発生場所：その他
2025/5/1,1,2,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,0,1
2025/5/1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/1,3,3,0,0,0,0,3,0,0,1,1,1,0,3,0,0,0,0,0,0,0
2025/5/1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/1,7,3,0,0,1,0,2,0,0,0,0,3,0,1,2,0,0,0,0,0,0
2025/5/1,8,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2025/5/1,9,2,0,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,1,0
2025/5/1,10,5,0,0,1,1,3,0,0,2,0,3,0,0,0,0,1,1,0,3,0
2025/5/1,11,4,0,1,0,2,1,0,0,0,2,2,0,0,0,1,0,0,1,2,0
2025/5/1,12,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2025/5/1,13,3,0,1,0,0,2,0,0,0,1,2,0,1,0,0,0,0,0,2,0
2025/5/1,14,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2025/5/1,15,3,0,0,0,1,2,0,0,0,0,3,0,1,0,0,0,0,0,1,1
2025/5/1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/1,17,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2025/5/1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/1,20,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2025/5/1,21,2,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0
2025/5/1,22,2,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,1,1,0,0
2025/5/1,23,2,0,0,1,1,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0
2025/5/1,24,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2025/5/1,25,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2025/5/1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/1,28,3,0,0,0,2,1,0,0,0,0,3,0,1,1,0,0,0,0,1,0
2025/5/1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/1,34,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2025/5/1,35,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2025/5/1,36,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2025/5/1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/1,40,3,0,0,1,0,2,0,0,0,2,1,0,0,0,0,1,1,0,1,0
2025/5/1,41,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2025/5/1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/1,44,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2025/5/1,45,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2025/5/1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/1,47,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2025/5/2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/2,2,2,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0
2025/5/2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/2,13,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2025/5/2,14,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2025/5/2,15,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2025/5/2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/2,21,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2025/5/2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/2,23,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2025/5/2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/2,27,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2025/5/2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/2,31,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2025/5/2,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/2,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/2,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/2,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/2,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/2,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/2,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/2,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/2,40,2,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,1,0
2025/5/2,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/2,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/2,43,3,0,0,0,1,2,0,0,0,0,3,0,1,0,0,0,0,0,1,1
2025/5/2,44,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2025/5/2,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/2,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/2,47,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2025/5/3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/3,6,2,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0
2025/5/3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/3,8,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2025/5/3,9,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2025/5/3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/3,11,3,0,0,0,1,2,0,0,0,2,1,0,1,1,0,0,0,0,1,0
2025/5/3,12,2,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0,1,0,0
2025/5/3,13,4,0,0,0,2,2,0,0,0,1,3,0,1,0,0,0,1,2,0,0
2025/5/3,14,2,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1
2025/5/3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/3,17,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2025/5/3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/3,19,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2025/5/3,20,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2025/5/3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/3,22,2,0,0,1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0
2025/5/3,23,6,0,1,1,1,3,0,0,0,1,5,0,0,0,0,1,3,0,2,0
2025/5/3,24,3,0,0,1,0,2,0,0,0,0,3,0,1,0,1,0,0,1,0,0
2025/5/3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/3,26,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0
2025/5/3,27,4,0,0,1,0,3,0,0,0,0,4,0,0,0,0,0,0,1,2,1
2025/5/3,28,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2025/5/3,29,3,0,0,0,1,2,0,0,0,1,2,0,2,0,0,0,1,0,0,0
2025/5/3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/3,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/3,33,2,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0
2025/5/3,34,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2025/5/3,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/3,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/3,37,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2025/5/3,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/3,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/3,40,2,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,1,0,0
2025/5/3,41,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2025/5/3,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/3,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/3,44,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2025/5/3,45,2,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,1
2025/5/3,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/3,47,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2025/5/4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
