日付,都道府県コード,搬送人員（計）,年齢区分：新生児,年齢区分：乳幼児,年齢区分：少年,年齢区分：成人,年齢区分：高齢者,年齢区分：不明,傷病程度：死亡,傷病程度：重症,傷病程度：中等症,傷病程度：軽症,傷病程度：その他,発生場所：住居,発生場所：仕事場①,発生場所：仕事場② ,発生場所：教育機関,発生場所：公衆(屋内),発生場所：公衆(屋外),発生場所：道路,発生場所：その他
2023/5/1,8,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2023/5/2,8,2,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0
2023/5/3,8,4,0,0,1,1,2,0,0,0,1,3,0,1,1,0,0,0,1,1,0
2023/5/4,8,2,0,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,1,0
2023/5/5,8,3,0,0,1,0,2,0,0,0,1,2,0,1,0,0,0,1,1,0,0
2023/5/6,8,3,0,0,1,1,1,0,0,0,1,2,0,2,0,0,1,0,0,0,0
2023/5/7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023/5/8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023/5/9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023/5/10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023/5/11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023/5/12,8,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2023/5/13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023/5/14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023/5/15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023/5/16,8,2,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,1
2023/5/17,8,9,0,0,1,2,6,0,0,1,2,6,0,6,0,0,1,0,0,1,1
2023/5/18,8,34,0,0,3,11,20,0,0,0,15,19,0,15,3,3,2,0,6,2,3
2023/5/19,8,2,0,0,0,2,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0
2023/5/20,8,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2023/5/21,8,5,0,1,0,0,4,0,0,0,1,4,0,2,0,0,0,1,2,0,0
2023/5/22,8,2,0,0,0,1,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0
2023/5/23,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023/5/24,8,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2023/5/25,8,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2023/5/26,8,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2023/5/27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023/5/28,8,2,0,0,2,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0
2023/5/29,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023/5/30,8,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2023/5/31,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023/6/1,8,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2023/6/2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
