年月日,最高気温
2025年5月1日,23.528571428571432
2025年5月2日,18.735714285714288
2025年5月3日,23.292857142857144
2025年5月4日,21.271428571428572
2025年5月5日,22.507142857142856
2025年5月6日,16.22142857142857
2025年5月7日,22.0
2025年5月8日,21.464285714285715
2025年5月9日,22.235714285714288
2025年5月10日,20.428571428571427
2025年5月11日,25.46428571428571
2025年5月12日,17.1
2025年5月13日,24.892857142857142
2025年5月14日,24.735714285714284
2025年5月15日,25.107142857142858
2025年5月16日,25.97857142857143
2025年5月17日,22.428571428571423
2025年5月18日,27.185714285714287
2025年5月19日,21.11428571428571
2025年5月20日,29.87857142857143
2025年5月21日,29.485714285714288
2025年5月22日,25.835714285714285
2025年5月23日,21.284615384615385
2025年5月24日,19.685714285714287
2025年5月25日,18.150000000000002
2025年5月26日,20.471428571428568
2025年5月27日,19.733333333333334
2025年5月28日,23.014285714285716
2025年5月29日,24.021428571428576
2025年5月30日,16.857142857142858
2025年5月31日,17.392857142857142
2025年6月1日,21.29285714285714
2025年6月2日,24.371428571428574
2025年6月3日,20.41428571428571
2025年6月4日,27.135714285714283
2025年6月5日,29.392857142857142
2025年6月6日,28.778571428571432
2025年6月7日,28.900000000000002
2025年6月8日,27.05
2025年6月9日,27.12142857142857
2025年6月10日,21.514285714285712
2025年6月11日,21.650000000000002
2025年6月12日,26.316666666666674
2025年6月13日,23.941666666666666
2025年6月14日,24.707142857142856
2025年6月15日,29.314285714285713
2025年6月16日,30.3
2025年6月17日,32.925000000000004
2025年6月18日,33.05833333333333
2025年6月19日,31.96428571428571
2025年6月20日,29.828571428571426
2025年6月21日,30.992857142857137
2025年6月22日,33.04285714285714
2025年6月23日,32.185714285714276
2025年6月24日,28.457142857142856
2025年6月25日,27.928571428571427
2025年6月26日,31.714285714285715
2025年6月27日,31.24285714285714
2025年6月28日,32.25
2025年6月29日,32.542857142857144
2025年6月30日,34.135714285714286
2025年7月1日,33.90714285714286
2025年7月2日,33.791666666666664
2025年7月3日,32.550000000000004
2025年7月4日,32.90714285714286
2025年7月5日,31.83571428571429
2025年7月6日,33.45714285714286
2025年7月7日,34.292857142857144
2025年7月8日,34.215384615384615
2025年7月9日,34.40714285714286
2025年7月10日,31.678571428571434
2025年7月11日,23.82857142857143
2025年7月12日,25.192857142857143
2025年7月13日,30.97857142857143
2025年7月14日,28.914285714285715
2025年7月15日,28.021428571428572
2025年7月16日,28.657142857142855
2025年7月17日,31.585714285714285
2025年7月18日,32.8
2025年7月19日,32.778571428571425
2025年7月20日,33.48571428571429
2025年7月21日,35.05714285714286
2025年7月22日,35.48571428571429
2025年7月23日,35.271428571428565
2025年7月24日,35.614285714285714
2025年7月25日,35.33571428571429
2025年7月26日,35.79285714285714
2025年7月27日,34.864285714285714
2025年7月28日,35.457142857142856
2025年7月29日,35.22142857142857
2025年7月30日,32.40714285714286
2025年7月31日,31.16428571428571
2025年8月1日,30.03571428571428
2025年8月2日,35.00000000000001
2025年8月3日,33.207142857142856
2025年8月4日,34.900000000000006
2025年8月5日,36.978571428571435
2025年8月6日,35.22857142857143
2025年8月7日,30.692857142857147
2025年8月8日,33.815384615384616
2025年8月9日,31.307692307692307
2025年8月10日,27.984615384615385
2025年8月11日,30.9
2025年8月12日,29.5
2025年8月13日,30.650000000000002
2025年8月14日,31.45
2025年8月15日,34.39285714285714
2025年8月16日,31.207142857142856
2025年8月17日,34.57142857142858
2025年8月18日,34.67857142857142
2025年8月19日,35.24999999999999
2025年8月20日,35.65714285714286
2025年8月21日,36.4
2025年8月22日,32.807692307692314
2025年8月23日,36.15714285714286
2025年8月24日,36.06428571428572
2025年8月25日,33.357142857142854
2025年8月26日,34.315384615384616
2025年8月27日,35.55384615384616
2025年8月28日,31.635714285714283
2025年8月29日,33.635714285714286
2025年8月30日,36.54285714285714
2025年8月31日,34.43571428571428
2025年9月1日,35.621428571428574
2025年9月2日,36.285714285714285
2025年9月3日,35.01428571428571
2025年9月4日,28.807142857142857
2025年9月5日,25.47142857142857
2025年9月6日,30.935714285714283
2025年9月7日,32.71428571428571
2025年9月8日,33.40714285714286
2025年9月9日,32.79285714285714
2025年9月10日,28.69285714285714
2025年9月11日,29.657142857142862
2025年9月12日,27.72142857142857
2025年9月13日,28.7
2025年9月14日,31.821428571428573
2025年9月15日,29.957142857142856
2025年9月16日,32.97857142857143
2025年9月17日,34.65714285714286
2025年9月18日,34.364285714285714
2025年9月19日,26.071428571428573
2025年9月20日,26.714285714285715
2025年9月21日,30.550000000000004
2025年9月22日,25.864285714285717
2025年9月23日,24.95
2025年9月24日,26.092857142857145
2025年9月25日,28.771428571428572
2025年9月26日,30.400000000000002
2025年9月27日,28.8
2025年9月28日,28.935714285714287
2025年9月29日,30.671428571428574
2025年9月30日,27.31428571428571
