cityCode,市町村名,C_2011コミュニティバス運行2011年,C_2017コミュニティバス運行2017年,D_2011デマンド型交通運行2011年,D_2017デマンド型交通運行2017年,人口密度(人/km2),面積(km2),軽自動車率,15歳未満人口比率,高齢化率,自家用車利用率
1100,北海道札幌市,0,0,0,0,3751.89,1121.26,0.283,0.114,0.249,0.367
1202,北海道函館市,0,0,0,0,379.938,677.86,0.427,0.102,0.324,0.611
1203,北海道小樽市,0,0,0,0,486.168,243.83,0.374,0.092,0.372,0.448
1204,北海道旭川市,0,1,0,1,450.361,747.66,0.374,0.111,0.318,0.644
1205,北海道室蘭市,0,1,0,0,1057.96,80.88,0.361,0.104,0.341,0.642
1206,北海道釧路市,0,0,1,0,125.774,1362.92,0.401,0.111,0.304,0.695
1207,北海道帯広市,0,0,1,1,277.286,619.34,0.397,0.122,0.264,0.706
1208,北海道北見市,0,1,0,1,84.549,1427.41,0.425,0.112,0.302,0.692
1209,北海道夕張市,0,0,0,1,11.555,763.07,0.332,0.057,0.486,0.643
1210,北海道岩見沢市,0,1,0,1,175.658,481.02,0.413,0.107,0.326,0.632
1211,北海道網走市,0,1,0,1,81.599,471.0,0.433,0.117,0.274,0.686
1212,北海道留萌市,0,0,0,0,69.834,297.83,0.333,0.103,0.339,0.581
1213,北海道苫小牧市,0,0,1,1,303.299,561.57,0.366,0.13,0.258,0.683
1214,北海道稚内市,0,1,0,1,43.288,761.47,0.411,0.118,0.289,0.636
1215,北海道美唄市,0,1,0,1,82.905,277.69,0.409,0.086,0.384,0.633
1216,北海道芦別市,0,1,0,0,18.126,865.04,0.401,0.076,0.436,0.627
1217,北海道江別市,0,0,0,0,672.23,187.38,0.356,0.112,0.271,0.492
1218,北海道赤平市,0,0,0,0,77.866,129.88,0.411,0.075,0.447,0.691
1219,北海道紋別市,0,1,0,0,26.801,830.78,0.426,0.103,0.337,0.711
1220,北海道士別市,0,0,0,1,17.75,1119.22,0.395,0.104,0.374,0.699
1221,北海道名寄市,0,1,1,1,54.246,535.2,0.402,0.119,0.303,0.624
1222,北海道三笠市,1,1,0,0,29.873,302.52,0.427,0.076,0.461,0.665
1223,北海道根室市,0,0,0,0,46.792,506.25,0.409,0.113,0.309,0.694
1224,北海道千歳市,1,0,0,0,159.694,594.5,0.363,0.142,0.209,0.61
1225,北海道滝川市,0,0,0,0,353.722,115.9,0.404,0.109,0.327,0.656
1226,北海道砂川市,0,0,0,1,229.673,78.68,0.396,0.1,0.365,0.682
1227,北海道歌志内市,0,0,0,0,70.161,55.95,0.401,0.061,0.466,0.734
1228,北海道深川市,0,0,0,0,41.35,529.42,0.438,0.091,0.394,0.674
1229,北海道富良野市,0,0,1,0,38.204,600.71,0.418,0.117,0.31,0.648
1230,北海道登別市,0,0,0,0,225.837,212.21,0.382,0.109,0.34,0.699
1231,北海道恵庭市,1,1,0,1,237.109,294.65,0.402,0.131,0.251,0.582
1233,北海道伊達市,0,0,1,1,77.317,444.21,0.207,0.113,0.346,0.697
1234,北海道北広島市,0,0,0,1,519.524,119.05,0.345,0.122,0.29,0.565
1235,北海道石狩市,0,0,0,1,76.583,722.42,0.383,0.129,0.3,0.632
1236,北海道北斗市,1,1,0,0,95.607,397.44,0.484,0.137,0.265,0.746
1303,北海道石狩郡当別町,1,1,0,1,41.754,422.86,0.42,0.09,0.303,0.544
1304,北海道石狩郡新篠津村,0,0,0,0,41.737,78.04,0.459,0.107,0.33,0.566
1331,北海道松前郡松前町,0,1,0,0,17.22,293.25,0.467,0.074,0.46,0.586
1332,北海道松前郡福島町,0,0,0,1,22.692,187.28,0.413,0.075,0.419,0.54
1333,北海道上磯郡知内町,0,0,0,0,17.278,196.75,0.47,0.109,0.342,0.712
1334,北海道上磯郡木古内町,0,0,0,0,14.989,221.87,0.414,0.068,0.441,0.696
1337,北海道亀田郡七飯町,0,1,0,0,139.759,216.75,0.477,0.12,0.322,0.752
1343,北海道茅部郡鹿部町,0,0,0,0,34.34,110.64,0.49,0.1,0.359,0.649
1345,北海道茅部郡森町,0,0,0,0,35.661,368.79,0.46,0.113,0.347,0.7
1346,北海道二海郡八雲町,0,0,0,0,16.998,956.07,0.384,0.114,0.312,0.659
